X,Y,Z
0.023714855,-0.22264388,10.01802
0.008729637,-0.17916442,10.014539
-0.17612468,-0.032966647,2.890353
-0.06560624,-0.11477629,6.1176677
-0.07984717,-0.11114753,6.6408834
-0.010188997,-0.18394722,9.407487
-0.029904693,-0.17995544,8.11383
-0.06621221,-0.11165467,6.107779
-0.035010487,-0.20312604,9.729241
-0.030254304,-0.16409695,8.686538
0.0264491,-0.22317478,10.02688
0.024591595,-0.21205701,10.108354
-0.036245376,-0.21332678,9.161409
-0.038830772,-0.20915297,9.707916
0.042958498,-0.22730686,9.829346
0.027162194,-0.22325951,10.031533
-0.17519383,-0.032681923,2.8954499
-0.19154277,-0.036912017,3.2186873
-0.19688642,-0.027368305,2.7739742
-0.01677984,-0.22220394,8.850585
-0.013422683,-0.20481335,9.322097
-0.08363889,-0.09529503,5.972934
-0.07871759,-0.10000762,5.681894
0.020276159,-0.21468093,9.480664
-0.06372571,-0.11833962,6.2605214
-0.17593078,-0.032896742,2.891439
-0.17586312,-0.034833193,2.902749
-0.17592427,-0.03289443,2.8914704
-0.045485675,-0.17046104,7.9646435
-0.13770276,-0.045416817,3.6637485
-0.0034676045,-0.16963461,8.375422
0.026691288,-0.22320603,10.028345
-0.120473795,-0.07472776,4.8110147
-0.14238411,-0.043299757,3.5624557
0.019840702,-0.18653142,9.777292
0.007535428,-0.2075726,9.907829
-0.14751402,-0.058173224,4.1322284
-0.17396757,-0.03031871,2.9226196
-0.118094064,-0.05501457,4.119338
-0.17668593,-0.03361282,2.888517
0.038338453,-0.22917634,9.781487
-0.0012087524,-0.16055293,8.567314
0.037752807,-0.19191204,10.179778
-0.04219252,-0.19796203,9.8411875
0.016187608,-0.1860103,9.765433
0.022739053,-0.22939937,9.732005
0.011246413,-0.21198359,9.970986
0.04759583,-0.19857009,10.202247
0.008037269,-0.20820943,9.916948
-0.010759354,-0.15867037,8.63069
-0.11874047,-0.05463286,4.1075573
-0.1758812,-0.032879412,2.891681
-0.028782472,-0.21604115,9.640208
-0.06359719,-0.12813145,6.7021494
0.031323254,-0.19025157,10.1624365
0.052761793,-0.21468398,10.173406
0.016296506,-0.21612696,9.434363
-0.026551083,-0.21716917,9.635654
-0.019336313,-0.20171425,9.296596
-0.038630426,-0.17761277,8.876204
-0.032102495,-0.19260399,9.170748
0.02364771,-0.2115352,10.105779
-0.080970794,-0.13239479,7.168107
-0.14702575,-0.041597035,3.4598064
-0.0658683,-0.1119204,6.1181946
-0.015809774,-0.18667163,9.960889
-0.010195643,-0.21252552,8.494258
0.0059290826,-0.21364833,10.04129
-0.09405579,-0.086083986,5.141974
0.050964117,-0.20399143,10.158968
-0.021557182,-0.1893694,9.669948
-0.05839619,-0.16176808,7.8133507
-0.0076556653,-0.20778787,9.34777
-0.035238072,-0.18874045,9.09291
0.05267462,-0.2164826,10.158601
0.043792427,-0.22688666,9.83972
-0.06113361,-0.12807205,6.6268444
-0.174402,-0.03571082,2.923342
-0.019897819,-0.2215466,8.923985
-0.080699384,-0.13314,7.186886
0.020555437,-0.1815978,10.064652
