X,Y,Z
-0.4232843,-0.21485269,5.1094065
-0.39728677,-0.26219591,6.0986366
-0.38269264,-0.0672232,4.1557884
-0.39291418,-0.1695908,4.4548817
-0.3113908,-0.15496098,3.8397784
-0.41476685,-0.20812778,4.856511
-0.33800387,-0.17806016,4.049458
-0.37168604,-0.063100874,4.132951
-0.39385217,-0.19106868,5.0543127
-0.35641152,-0.16239189,4.367215
-0.4254344,-0.21655032,5.1732464
-0.40745032,-0.2537516,6.0563784
-0.40830958,-0.24854313,5.814583
-0.41623282,-0.23865676,5.7379208
-0.4004764,-0.2614891,6.1235657
-0.42609644,-0.21707302,5.192903
-0.37956673,-0.06016893,4.1363907
-0.39269036,-0.19964673,4.538292
-0.30048868,-0.040683813,3.994549
-0.41117263,-0.24647412,5.789584
-0.36561435,-0.1681198,4.4527617
-0.31629556,-0.16966204,3.905954
-0.34998643,-0.06562091,4.111293
-0.38565874,-0.21663344,4.914165
-0.39183074,-0.19195236,4.508241
-0.38216823,-0.065609835,4.151591
-0.37233222,-0.08132366,4.173752
-0.38214928,-0.06555793,4.151453
-0.3295914,-0.15269272,3.892404
-0.3152461,-0.03921155,4.009808
-0.35884112,-0.19789883,4.428397
-0.42565423,-0.21672389,5.1797733
-0.327931,-0.17500837,3.9809902
-0.3146587,-0.04278592,4.0169163
-0.39265233,-0.22444896,5.129513
-0.41666448,-0.20962605,4.912855
-0.34427708,-0.1821339,4.075405
-0.32782966,-0.019051855,3.9813328
-0.34722877,-0.037703045,4.04657
-0.3820474,-0.07664336,4.1756535
-0.40195185,-0.25999779,6.0966454
-0.3602758,-0.20058993,4.495667
-0.41615373,-0.24395299,5.7817097
-0.4122169,-0.22933626,5.68277
-0.39238936,-0.21955349,5.116026
-0.41287398,-0.22916031,5.4461956
-0.4175762,-0.21034586,4.9399242
-0.41628683,-0.24400878,5.7855663
-0.41679156,-0.20972642,4.9166293
-0.35701323,-0.18643992,4.4441977
-0.34461188,-0.03683933,4.041396
-0.38202196,-0.06521787,4.150547
-0.41672206,-0.24384822,5.786851
-0.39208263,-0.19649355,4.523554
-0.41634953,-0.2436544,5.7748117
-0.4184574,-0.24199274,5.7518377
-0.38320297,-0.21462531,4.8561015
-0.41637492,-0.24425453,5.7950144
-0.3639449,-0.16291745,4.419697
-0.35719085,-0.15230873,4.3351417
-0.36026365,-0.15344301,4.357519
-0.4034376,-0.25508776,6.07716
-0.31736612,-0.13719608,3.8276849
-0.31552565,-0.046765544,4.0267363
-0.37308484,-0.06342676,4.135419
-0.4167658,-0.23869687,5.718772
-0.42513096,-0.2393396,5.765216
-0.37362552,-0.23559402,6.040633
-0.35303843,-0.079852104,4.1463485
-0.39483422,-0.26643306,6.2014484
-0.39149606,-0.19602506,5.0461245
-0.32562914,-0.14092068,3.858248
-0.36739743,-0.17400913,4.4902945
-0.359358,-0.15191706,4.346033
-0.41883773,-0.24161062,5.744974
-0.40022165,-0.26174295,6.128093
